term,sentiment
ceramic,0
ceramics,0
cereal,0
cerebella,0
cerebellum,0
cerebra,0
cerebral,0
cerebrum,0
ceremonial,0
ceremonially,0
ceremonious,0
ceremoniously,0
ceremony,0
cerise,0
certain,1
certainly,0
certainty,0
certifiable,0
certificate,0
certification,0
certify,0
certitude,0
cerulean,0
cervical,0
cervices,0
cervix,0
cesarean,0
cessation,0
cession,0
cesspool,-2
cf.,0
cg,0
ch.,0
chafe,-1
chaff,-1
chagrin,-1
chain,0
chain-smoke,0
chair,0
chairlift,0
chairman,0
chairmanship,0
chairperson,0
chairwoman,0
chaise,0
chalet,0
chalice,0
chalk,0
chalkboard,0
chalky,0
challenge,0
challenged,-1
challenger,0
challenging,-1
chamber,0
chamberlain,0
chambermaid,0
chambers,0
chameleon,0
chamois,0
chamomile,0
champ,2
champagne,2
champion,3
championship,0
chance,1
chancel,0
chancellor,0
chancery,0
chancy,-1
chandelier,0
chandler,0
change,0
changeable,0
changeling,-1
changeover,0
channel,0
channel-surf,0
chant,0
chaos,-2
chaotic,-1
chap,0
chap.,0
chaparral,0
chapel,0
chaperon,0
chaperone,0
chaplain,0
chaplet,0
chaps,0
chapter,0
char,0
character,0
characteristic,0
characteristically,0
characterization,0
characterize,0
charade,-1
charades,0
charbroil,0
charcoal,0
charge,0
chargeable,0
charger,0
charily,-1
chariot,0
charioteer,0
charisma,2
charismatic,2
charitable,2
charitably,2
charity,1
charlatan,-2
charleston,0
charm,1
charmer,1
charming,2
charmingly,2
chart,0
charter,0
chartreuse,0
charwoman,0
chary,-1
chase,0
chaser,0
chasm,0
chassis,0
chaste,2
chastely,2
chasten,-1
chastise,-2
chastisement,-2
chastity,0
chat,0
chateau,0
chateaux,0
chattel,0
chatter,0
chatterbox,-1
chatterer,-1
chattiness,0
chatty,0
chauffeur,0
chauvinism,-2
chauvinist,-2
chauvinistic,-2
cheap,-1
cheapen,-1
cheaply,0
cheapness,0
cheapskate,-1
cheat,-2
cheater,-2
check,0
checkbook,0
checked,0
checker,0
checkerboard,0
checkered,-1
checkers,0
checklist,0
checkmate,0
checkout,0
checkpoint,0
checkroom,0
checkup,0
cheddar,0
cheek,0
cheekbone,0
cheekily,1
cheekiness,0
cheeky,0
cheep,0
cheer,1
cheerful,2
cheerfully,2
cheerfulness,2
cheerily,1
cheeriness,2
cheerleader,0
cheerless,-2
cheerlessly,-2
cheerlessness,-1
cheers,2
cheery,1
cheese,0
cheeseburger,0
cheesecake,0
cheesecloth,0
cheesy,-1
cheetah,0
chef,0
chem.,0
chemical,0
chemically,0
chemise,0
chemist,0
chemistry,0
chemotherapy,0
chenille,0
cheque,0
cherish,1
cheroot,0
cherry,0
cherub,1
cherubic,2
chess,0
chessboard,0
chessman,0
chest,0
chestnut,0
chevron,0
chew,0
chewer,0
chewy,0
chic,2
chicanery,-2
chichi,0
chick,0
chickadee,0
chicken,-1
chickenpox,-1
chickpea,0
chickweed,0
chicle,0
chicory,0
chid,0
chidden,-1
chide,-1
chief,1
chiefly,0
chieftain,0
chiffon,0
chigger,0
chignon,0
chilblain,-1
child,0
childbearing,0
childbirth,0
childhood,0
childish,-1
childishly,-1
childishness,-1
childless,-1
childlike,0
childproof,0
children,0
chile,0
chilean,0
chili,0
chill,0
chilliness,0
chilly,0
chime,0
chimera,0
chimerical,-1
chimney,0
chimp,0
chimpanzee,0
chin,0
china,0
chinchilla,0
chinese,0
chink,0
chino,0
chinos,0
chinstrap,0
chintz,0
chintzy,-1
chip,0
chipmunk,0
chipper,0
chiropodist,0
chiropody,0
chiropractic,0
chiropractor,0
chirp,0
chisel,0
chiseler,0
chit,0
chitchat,0
chitin,0
chitlins,0
chitterlings,0
chivalrous,2
chivalrously,2
chivalry,2
chive,0
chloride,0
chlorinate,0
chlorination,0
chlorine,0
chlorofluorocarbon,0
chloroform,0
chlorophyll,0
chock,0
chock-full,0
chocolate,0
choice,1
choir,0
choke,-1
choker,0
cholera,0
choleric,-1
cholesterol,0
chomp,0
choose,0
choosy,-1
chop,0
chopper,0
choppiness,-1
choppy,-1
chops,0
chopstick,0
chopsticks,0
choral,0
chorale,0
chord,0
chore,-1
choreograph,0
choreographer,0
choreography,0
chores,0
chorister,0
chortle,0
chorus,0
chose,0
chosen,0
chow,0
chowder,0
christen,0
christening,0
christian,0
chromatic,0
chrome,0
chromium,0
chromosome,0
chronic,-2
chronically,-1
chronicle,0
chronicler,0
chronological,0
chronologically,0
chronology,0
chronometer,0
chrysalis,0
chrysanthemum,0
chubbiness,0
chubby,0
chuck,0
chuckhole,0
chuckle,1
chug,0
chum,0
chumminess,0
chummy,0
chump,0
chunk,0
chunky,0
church,0
churchgoer,0
churchman,0
churchyard,0
churl,-2
churlish,-1
churlishly,-2
churlishness,-2
churn,0
chute,0
chutney,0
chutzpah,0
cicada,0
cider,0
cigar,0
cigarette,0
cilantro,0
cilia,0
cinch,0
cinchona,0
cinder,0
cinema,0
cinematic,1
cinematographer,0
cinematography,0
cinnamon,0
cipher,0
circa,0
circadian,0
circle,0
circlet,0
circuit,0
circuitous,-1
circuitry,0
circular,0
circularity,0
circulate,0
circulation,0
circulatory,0
circumcise,0
circumcision,0
circumference,0
circumflex,0
circumlocution,0
circumnavigate,0
circumnavigation,0
circumscribe,0
circumspect,1
circumspection,0
circumstance,0
circumstances,0
circumstantial,0
circumstantially,0
circumvent,0
circumvention,0
circus,0
cirrhosis,-2
cirrus,0
cistern,0
citadel,0
citation,0
cite,0
citizen,0
citizenry,0
citizenship,0
citron,0
citronella,0
citrus,0
city,0
civet,0
civic,0
civics,0
civil,1
civilian,0
civility,1
civilization,0
civilize,1
civilized,2
civilly,1
civvies,0
cl,0
clack,0
clad,0
claim,0
claimant,0
clairvoyance,0
clairvoyant,0
clam,0
clambake,0
clamber,0
clamminess,-1
clammy,-1
clamor,-1
clamorous,-1
clamp,0
clan,0
clandestine,-1
clandestinely,0
clang,0
clangor,0
clank,0
clannish,-1
clap,0
clapboard,0
clapper,0
claptrap,-2
claret,0
clarification,0
clarify,0
clarinet,0
clarinetist,0
clarion,0
clarity,2
clash,-1
clasp,0
class,0
classic,1
classical,0
classically,1
classicism,0
classicist,0
classics,0
classifiable,0
classification,0
classified,0
classify,0
classmate,0
classroom,0
classy,2
clatter,0
clause,0
claustrophobia,-1
claustrophobic,-2
clavichord,0
clavicle,0
claw,-1
clay,0
clayey,0
clean,2
clean-cut,2
cleaner,0
cleanliness,1
cleanly,2
cleanness,2
cleanse,1
cleanser,0
clean-shaven,1
cleanup,0
clear,2
clearance,0
clear-cut,1
clearing,0
clearinghouse,0
clearly,2
clearness,2
cleat,0
cleavage,0
cleave,0
cleaver,0
clef,0
cleft,0
clematis,0
clemency,2
clement,1
clench,0
clergy,0
clergyman,0
clergywoman,0
cleric,0
clerical,0
clerk,0
clever,2
cleverly,2
cleverness,2
cliche,-1
cliched,-2
click,0
client,0
clientele,0
cliff,0
cliffhanger,0
climactic,1
climate,0
climatic,0
climax,0
climb,0
climber,0
clime,0
clinch,0
clincher,0
cling,0
clingy,-1
clinic,0
clinical,0
clinically,0
clinician,0
clink,0
clinker,0
clip,0
clipboard,0
clipper,0
clippers,0
clipping,0
clique,-1
cliquish,-2
clitoris,0
cloak,0
cloak-and-dagger,0
cloakroom,0
clobber,-1
clock,0
clockwise,0
clockwork,0
clod,-2
clodhopper,-1
clog,-1
cloister,0
clomp,0
clone,0
clop,0
close,0
closed,0
closefisted,-2
close-knit,2
closely,0
closemouthed,0
closeness,0
closeout,0
closet,0
closure,0
clot,0
cloth,0
clothe,0
clothes,0
clothesline,0
clothespin,0
clothier,0
clothing,0
cloture,0
cloud,-1
cloudburst,0
cloudless,0
cloudy,0
clout,0
clove,0
cloven,0
clover,0
cloverleaf,0
clown,0
clownish,-1
clownishness,0
cloy,-1
club,0
clubfoot,-1
clubhouse,0
cluck,0
clue,0
clueless,-1
clump,0
clumsily,-1
clumsiness,-1
clumsy,-1
clung,0
clunk,0
clunker,-1
cluster,0
clutch,0
clutter,-1
cm,0
coach,0
coachman,0
coagulate,0
coagulation,0
coal,0
coalesce,0
coalescence,0
coalition,0
coarse,-2
coarsely,-2
coarsen,0
coarseness,-1
coast,0
coastal,0
coaster,0
coastline,0
coat,0
coating,0
coauthor,0
coax,0
cob,0
cobalt,0
cobble,0
cobbler,0
cobblestone,0
cobra,0
cobweb,0
cocaine,-2
coccyges,0
coccyx,0
cochlea,0
cock,0
cockade,0
cockatoo,0
cockerel,0
cockeyed,-1
cockfight,0
cockily,-1
cockiness,-1
cockle,0
cockleshell,0
cockney,0
cockpit,0
cockroach,-1
cocksucker,-2
cocksure,-1
cocktail,0
cocky,-2
cocoa,0
coconut,0
cocoon,0
cod,0
coda,0
coddle,0
code,0
codeine,0
codependency,0
codependent,0
codex,0
codfish,0
codger,0
codices,0
codicil,0
codification,0
codify,0
coed,0
co-ed,0
coeducation,0
coeducational,0
coefficient,0
coequal,0
coerce,-2
coercion,-2
coercive,-2
coexist,0
coexistence,0
coffee,0
coffeecake,0
coffeehouse,0
coffeepot,0
coffer,0
coffin,0
cog,0
cogency,1
cogent,2
cogently,1
cogitate,0
cogitation,0
cognac,0
cognate,0
cognition,0
cognitive,0
cognizance,0
cognizant,0
cogwheel,0
cohabit,0
cohabitation,0
cohere,0
coherence,0
coherent,2
coherently,2
cohesion,0
cohesive,2
cohort,0
coif,0
coiffure,0
coil,0
coin,0
coinage,0
coincide,0
coincidence,0
coincident,0
coincidental,0
coincidentally,0
coitus,0
coke,0
col.,0
cola,0
colander,0
cold,-1
cold-blooded,-2
coldly,-2
coldness,-1
coleslaw,0
colic,-1
colicky,-1
coliseum,0
colitis,-2
collaborate,0
collaboration,0
collaborator,0
collage,0
collapse,-1
collapsible,0
collar,0
collarbone,0
collate,0
collateral,0
collation,0
colleague,0
collect,0
collected,0
collectible,0
collection,0
collective,0
collectively,0
collectivism,0
collector,0
college,0
collegiate,0
collide,0
collie,0
colliery,0
collision,-1
collocate,0
collocation,0
colloid,0
colloquia,0
colloquial,0
colloquialism,0
colloquially,0
colloquium,0
colloquy,0
collusion,-2
collusive,-2
cologne,0
colon,0
colonel,0
colonial,0
colonialism,0
colonialist,0
colonist,0
colonization,0
colonize,0
colonizer,0
colonnade,0
colony,0
color,0
coloration,0
coloratura,0
colorblind,0
color-blind,0
colorblindness,0
colored,0
colorfast,0
colorful,1
colorfully,0
coloring,0
colorless,-1
colossal,1
colossi,0
colossus,0
colour,0
colt,0
coltish,0
columbine,0
column,0
columnist,0
coma,-2
comatose,-2
comb,0
combat,0
combatant,-1
combative,-1
combination,0
combine,0
combo,0
combustibility,0
combustible,0
combustion,0
come,0
comeback,0
comedian,0
comedienne,0
comedown,-1
comedy,0
comeliness,1
comely,2
comet,0
comeuppance,-2
comfort,1
comfortable,2
comfortably,2
comforter,0
comforting,2
comfortingly,2
comfy,2
comic,0
comical,1
comically,1
comics,0
coming,0
comm.,0
comma,0
command,0
commandant,0
commandeer,0
commander,0
commanding,0
commandment,0
commando,0
commemorate,0
commemoration,0
commemorative,1
commence,0
commencement,0
commend,2
commendable,2
commendably,2
commendation,2
commensurate,0
comment,0
commentary,0
commentator,0
commerce,0
commercial,0
commercialism,0
commercialization,0
commercialize,0
commercially,0
commingle,0
commiserate,1
commiseration,-1
commissar,0
commissary,0
commission,0
commissioner,0
commit,0
commitment,1
committee,0
commode,0
commodious,1
commodity,0
commodore,0
common,0
commoner,0
commonly,0
commonplace,0
commonwealth,0
commotion,-1
communal,0
communally,0
commune,0
communicable,0
communicant,0
communicate,0
communication,0
communications,0
communicative,0
communion,0
communique,0
communism,-1
communist,0
communistic,0
community,0
commutation,0
commutative,0
commute,0
commuter,0
compact,1
compactly,1
compactness,0
compactor,0
companion,0
companionable,1
companionship,0
companionway,0
company,0
comparable,1
comparably,0
comparative,0
comparatively,0
compare,0
comparison,0
compartment,0
compartmentalize,0
compass,0
compassion,2
compassionate,2
compassionately,2
compatibility,0
compatible,1
compatibly,1
compatriot,0
compel,-1
compelling,2
compellingly,2
compendia,0
compendium,0
compensate,0
compensation,0
compensatory,0
compete,0
competence,0
competency,0
competent,2
competently,2
competition,0
competitive,1
competitively,0
competitiveness,0
competitor,0
compilation,0
compile,0
compiler,0
complacence,-2
complacency,-2
complacent,-2
complacently,-2
complain,-2
complainant,-1
complainer,-1
complaint,-2
complaisance,0
complaisant,1
complement,1
complementary,0
complete,2
completely,0
completeness,0
completion,0
complex,0
complexion,0
complexity,0
compliance,0
compliant,1
complicate,-1
complicated,-1
complication,-1
complicity,-1
compliment,1
complimentary,2
comply,0
component,0
comport,0
comportment,0
compose,0
composed,1
composer,0
composite,0
composition,0
compositor,0
compost,0
composure,0
compote,0
compound,0
comprehend,0
comprehensible,1
comprehension,0
comprehensive,1
comprehensively,1
comprehensiveness,0
compress,0
compression,0
compressor,0
comprise,0
compromise,-1
comptroller,0
compulsion,-2
compulsive,-1
compulsively,-1
compulsory,0
compunction,0
computation,0
compute,0
computer,0
computerization,0
computerize,0
comrade,0
comradeship,0
con,-2
concatenation,0
concave,0
concavity,0
conceal,-1
concealment,0
concede,-1
conceit,-2
conceited,-2
conceivable,0
conceivably,0
conceive,0
concentrate,0
concentrated,0
concentration,0
concentric,0
concept,0
conception,0
conceptual,0
conceptualize,0
conceptually,0
concern,0
concerned,0
concerning,0
concert,0
concerted,1
concerti,0
concertina,0
concerto,0
concession,0
conch,0
concierge,0
conciliate,1
conciliation,1
conciliator,1
conciliatory,1
concise,1
concisely,1
conciseness,0
conclave,0
conclude,0
conclusion,0
conclusive,2
conclusively,2
concoct,0
concoction,0
concomitant,0
concord,0
concordance,0
concordant,1
concourse,0
concrete,1
concretely,1
concubine,0
concur,0
concurrence,0
concurrent,0
concurrently,0
concussion,-2
condemn,-2
condemnation,-2
condemnatory,-2
condensation,0
condense,0
condenser,0
condescend,-1
condescending,-2
condescendingly,-2
condescension,-2
condiment,0
condition,0
conditional,-1
conditionally,0
conditioned,0
conditioner,0
condo,0
condolence,-1
condom,0
condominium,0
condone,0
condor,0
conducive,1
conduct,0
conduction,0
conductive,0
conductivity,0
conductor,0
conduit,0
cone,0
confection,0
confectioner,0
confectionery,0
confederacy,0
confederate,0
confederation,0
confer,0
conference,0
conferment,0
confess,-1
confessedly,0
confession,-1
confessional,0
confessor,0
confetti,0
confidant,0
confidante,0
confide,0
confidence,2
confident,2
confidential,0
confidentiality,0
confidentially,0
confidently,2
configuration,0
confine,-1
confinement,-1
confines,0
confirm,0
confirmation,0
confirmed,1
confiscate,-1
confiscated,-1
confiscation,-2
conflagration,-1
conflict,-1
confluence,0
conform,0
conformation,0
conformist,-1
conformity,0
confound,-1
confront,-1
confrontation,-2
confuse,-1
confused,-1
confusedly,-1
confusing,-2
confusion,-1
conga,0
congeal,0
congenial,2
congeniality,2
congenially,1
congenital,0
congenitally,0
congest,0
congestion,-1
conglomerate,0
conglomeration,0
congratulate,1
congratulation,2
congratulations,3
congratulatory,2
congregate,0
congregation,0
congregational,0
congress,0
congressional,0
congressman,0
congresswoman,0
congruence,0
congruent,1
congruity,0
congruous,1
conic,0
conical,0
conifer,0
coniferous,0
conj.,0
conjectural,0
conjecture,0
conjoin,0
conjugal,0
conjugate,0
conjugation,0
conjunction,0
conjunctive,0
conjunctivitis,-1
conjure,0
conjurer,0
conjuror,0
conk,-1
connect,0
connected,0
connection,0
connective,0
connector,0
connivance,-2
connive,-2
conniver,-2
connoisseur,0
connotation,0
connotative,0
connote,0
connubial,0
conquer,1
conqueror,0
conquest,0
conquistador,0
conquistadores,0
conscience,0
conscientious,1
conscientiously,1
conscientiousness,2
conscious,0
consciously,0
consciousness,0
conscript,0
conscription,0
consecrate,1
consecration,0
consecutive,0
consecutively,0
consensual,1
consensus,0
consent,0
consequence,0
consequent,0
consequential,0
consequently,0
conservation,0
conservationist,0
conservatism,0
conservative,0
conservatively,0
conservatory,0
conserve,0
consider,0
considerable,0
considerably,0
considerate,2
considerately,2
consideration,0
considered,0
considering,0
consign,0
consignment,0
consist,0
consistency,2
consistent,2
consistently,2
consolation,0
console,-1
consolidate,0
consolidation,0
consomme,0
consonance,0
consonant,0
consort,0
consortia,0
consortium,0
conspicuous,-1
conspicuously,-1
conspiracy,-2
conspirator,-1
conspiratorial,-2
conspire,-2
constable,0
constabulary,0
constancy,2
constant,0
constantly,0
constellation,0
consternation,-1
constipate,-1
constipated,-1
constipation,-1
constituency,0
constituent,0
constitute,0
constitution,0
constitutional,0
constitutionality,0
constitutionally,0
constrain,0
constraint,-1
constrict,-1
constriction,-1
constrictive,-2
constrictor,0
construct,0
construction,0
constructive,2
constructively,2
constructor,0
construe,0
consul,0
consular,0
consulate,0
consult,0
consultant,0
consultation,0
consume,0
consumer,0
consumerism,0
consummate,2
consummation,0
consumption,0
cont.,0
contact,0
contagion,-2
contagious,-2
contain,0
container,0
containment,0
contaminant,-2
contaminate,-1
contaminated,-2
contamination,-2
contd.,0
contemplate,0
contemplation,0
contemplative,1
contemporaneous,0
contemporary,0
contempt,-2
contemptible,-2
contemptibly,-2
contemptuous,-2
contemptuously,-2
contend,-1
contender,0
content,2
contented,2
contentedly,2
contentedness,2
contention,0
contentious,-2
contentment,2
contents,0
contest,0
contestant,0
context,0
contextual,0
contiguous,0
continence,0
continent,0
continental,0
contingency,0
contingent,0
continua,0
continual,0
continually,0
continuance,0
continuation,0
continue,0
continuity,1
continuous,0
continuously,0
continuum,0
contort,0
contortion,0
contortionist,0
contour,0
contraband,-2
contraception,0
contraceptive,0
contract,0
contraction,0
contractor,0
contractual,0
contradict,-1
contradiction,-1
contradictory,-1
contradistinction,0
contrail,0
contralto,0
contraption,0
contrarily,0
contrariness,0
contrariwise,0
contrary,-1
contrast,0
contravene,-1
contretemps,-2
contribute,2
contribution,1
contributor,0
contributory,0
contrite,0
contritely,1
contrition,0
contrivance,-1
contrive,0
contrived,-2
control,0
controllable,1
controller,0
controversial,-1
controversially,-1
controversy,-1
controvert,-1
contusion,-1
conundrum,0
convalesce,0
convalescence,0
convalescent,0
convection,0
convene,0
convenience,2
convenient,2
conveniently,2
convent,0
convention,0
conventional,0
conventionality,0
conventionally,0
converge,0
convergence,0
convergent,0
conversant,1
conversation,0
conversational,0
conversationalist,0
conversationally,0
converse,0
conversely,0
conversion,0
convert,0
converter,0
convertible,0
convex,0
convey,0
conveyance,0
conveyer,0
conveyor,0
convict,0
conviction,2
convince,0
convincing,2
convincingly,2
convivial,2
conviviality,2
convocation,0
convoke,0
convoluted,-1
convolution,-1
convoy,0
convulse,0
convulsion,-2
convulsive,-1
convulsively,-2
coo,0
cook,0
cookbook,0
cooker,0
cookery,0
cookie,0
cooking,0
cookout,0
cool,2
coolant,0
cooler,0
coolie,0
coolly,0
coolness,0
coon,0
coop,0
cooper,0
cooperate,1
cooperation,0
cooperative,2
cooperatively,2
co-opt,0
coordinate,0
coordination,0
coordinator,0
coot,0
cootie,-1
cop,0
cope,0
copier,0
copilot,0
copious,1
copiously,1
copper,0
copperhead,0
coppice,0
copra,0
copse,0
copter,0
copula,0
copulate,0
copulation,0
copy,0
copycat,-1
copyright,0
copywriter,0
coquette,0
coquettish,-1
coral,0
cord,0
cordial,2
cordiality,2
cordially,2
cordless,0
cordon,0
corduroy,0
corduroys,0
core,0
coriander,0
cork,0
corkscrew,0
cormorant,0
corn,0
cornball,0
cornbread,0
corncob,0
cornea,0
corner,0
cornerstone,0
cornet,0
cornflakes,0
cornflower,0
cornice,0
cornmeal,0
cornstarch,0
cornucopia,0
corny,-1
corolla,0
corollary,0
corona,0
coronary,0
coronation,0
coroner,0
coronet,0
corp.,0
corpora,0
corporal,0
corporate,0
corporation,0
corporeal,0
corps,0
corpse,-1
corpulence,0
corpulent,-1
corpus,0
corpuscle,0
corral,0
correct,2
correction,0
correctional,-1
corrective,-1
correctly,2
correctness,0
correlate,0
correlation,0
correlative,0
correspond,0
correspondence,0
correspondent,0
corresponding,0
correspondingly,0
corridor,0
corroborate,0
corroboration,0
corroborative,2
corrode,-1
corrosion,-2
corrosive,-2
corrugate,0
corrugated,0
corrupt,-2
corruptible,-2
corruption,-2
corruptly,-2
corsage,0
corsair,0
corset,0
cortege,0
cortex,0
cortical,0
cortices,0
cortisone,0
cosign,0
cosignatory,0
cosigner,0
cosmetic,0
cosmetics,0
cosmetology,0
cosmic,0
cosmically,0
cosmogony,0
cosmology,0
cosmonaut,0
cosmopolitan,2
cosmos,0
cosponsor,0
cost,0
co-star,0
cost-effective,2
costliness,-1
costly,-2
costume,0
cosy,2
cot,0
coterie,0
cottage,0
cotton,0
cottonmouth,0
cottontail,0
cottonwood,0
cotyledon,0
couch,0
cougar,0
cough,0
could,0
council,0
councilman,0
councilor,0
councilwoman,0
counsel,0
counsellor,0
counselor,0
count,0
countable,0
countdown,0
countenance,0
counter,0
counteract,0
counterattack,0
counterbalance,0
counterclockwise,0
counterculture,0
counterespionage,0
counterfeit,-2
counterfeiter,-2
counterintelligence,0
countermand,-1
counteroffer,0
counterpane,0
counterpart,0
counterpoint,0
counterproductive,-2
counterrevolution,0
counterrevolutionary,0
countersign,0
countertenor,0
countess,0
countless,0
countrified,0
country,0
countryman,0
countryside,0
countrywoman,0
county,0
coup,0
coupe,0
couple,0
couplet,0
coupling,0
coupon,0
courage,2
courageous,2
courageously,2
courier,0
course,0
court,0
courteous,2
courteously,2
courteousness,2
courtesan,0
courtesy,2
courthouse,0
courtier,0
courtliness,2
courtly,1
court-martial,-2
courtroom,0
courtship,0
courtyard,0
cousin,0
cove,0
coven,0
covenant,1
cover,0
coverage,0
coverall,0
covering,0
coverlet,0
covert,0
covertly,0
covet,-1
covetous,-2
covetously,-2
covetousness,-2
covey,0
cow,-1
coward,-2
cowardice,-2
cowardly,-2
cowboy,0
cower,-1
cowgirl,0
cowhand,0
cowhide,0
cowl,0
cowlick,0
cowling,0
coworker,0
cowpoke,0
cowpox,0
cowpuncher,0
cowslip,0
coxcomb,0
coxswain,0
coy,0
coyly,0
coyness,0
coyote,0
cozily,1
coziness,2
cozy,2
crab,0
crabbed,-1
crabby,-1
crack,0
crackdown,0
cracked,0
cracker,0
crackerjack,2
crackle,0
crackpot,-2
crackup,0
cradle,0
craft,0
craftily,-1
craftiness,-1
craftsman,0
craftsmanship,0
crafty,-1
crag,0
craggy,1
cram,-1
cramp,-1
cramped,-2
cramps,-1
cranberry,0
crane,0
crania,0
cranial,0
cranium,0
crank,-1
crankcase,0
crankiness,-1
crankshaft,0
cranky,-1
cranny,0
crap,-1
crappy,-2
craps,0
crash,-1
crass,-2
crassly,-2
crassness,-2
crate,0
crater,0
cravat,0
crave,0
craven,-2
craving,0
craw,0
crawfish,0
crawl,0
crawlspace,0
crayfish,0
crayon,0
craze,-1
crazily,-2
craziness,-1
crazy,-1
creak,0
creaky,-1
cream,0
creamer,0
creamery,0
creamy,0
crease,0
create,0
creation,0
creationism,0
creative,2
creatively,2
creativeness,2
creativity,2
creator,0
creature,0
creche,0
credence,0
credential,0
credentials,0
credibility,0
credible,2
credibly,2
credit,0
creditable,1
creditably,2
creditor,0
credo,0
credulity,-1
credulous,-1
credulously,0
creed,0
creek,0
creel,0
creep,-1
creeper,0
creepiness,-1
creepy,-1
cremate,0
cremation,0
crematoria,0
crematorium,0
crematory,0
creole,0
creosote,0
crepe,0
crept,0
crescendo,0
crescent,0
cress,0
crest,0
crested,0
crestfallen,-1
cretaceous,0
cretin,-2
crevasse,0
crevice,0
crew,0
crewman,0
crib,0
cribbage,0
crick,-1
cricket,0
cried,0
crier,0
crime,-2
criminal,-2
criminally,-2
criminologist,0
criminology,0
crimp,0
crimson,0
cringe,-1
crinkle,0
crinkly,0
crinoline,0
cripple,-2
crippled,-1
crises,-2
crisis,-2
crisp,1
crisply,0
crispness,0
crispy,0
crisscross,0
criteria,0
criterion,0
critic,0
critical,-1
critically,-1
criticism,-2
criticize,-2
critique,0
critter,0
croak,-1
crochet,0
crock,0
crockery,0
crocodile,0
crocus,0
croissant,0
crone,-1
crony,-1
crook,-2
crooked,-2
crookedly,-1
crookedness,-1
croon,0
crooner,0
crop,0
croquet,0
croquette,0
cross,-1
crossbar,0
crossbones,0
crossbow,0
crossbred,0
crossbreed,0
crosscheck,0
cross-country,0
cross-eyed,0
crossfire,0
crossing,0
cross-legged,0
crossly,-1
crossness,-1
crossover,0
crosspiece,0
cross-refer,0
crossroad,0
crossroads,0
crosswalk,0
crossways,0
crosswise,0
crotch,0
crotchet,0
crotchety,-1
crouch,0
croup,0
croupier,0
crouton,0
crow,-1
crowbar,0
crowd,0
crowded,-2
crown,0
crucial,1
crucially,0
crucible,0
crucifix,0
crucifixion,0
cruciform,0
crucify,-2
crud,-1
cruddy,-1
crude,-1
crudely,-1
crudeness,-1
crudity,-2
cruel,-2
cruelly,-2
cruelty,-2
cruet,0
cruise,0
cruiser,0
cruller,0
crumb,0
crumble,-1
crumbly,0
crumby,0
crummy,-1
crumpet,0
crumple,-1
crunch,0
crunchy,0
crusade,0
crusader,0
crush,-1
crust,0
crustacean,0
crusty,-1
crutch,0
crux,0
cry,-1
crybaby,-2
crying,-1
cryogenics,0
crypt,0
cryptic,0
cryptically,-1
cryptogram,0
cryptographer,0
cryptography,0
crystal,0
crystalline,0
crystallization,0
crystallize,0
ct.,0
cu.,0
cub,0
cuban,0
cubbyhole,0
cube,0
cubic,0
cubical,0
cubicle,0
cubism,0
cubist,0
cubit,0
cuckold,-2
cuckoo,0
cucumber,0
cud,0
cuddle,1
cuddly,2
cudgel,-1
cue,0
cuff,0
cuisine,0
culinary,0
cull,0
culminate,0
culmination,0
culpability,-2
culpable,-2
culprit,-2
cult,-2
cultivate,0
cultivated,1
cultivation,0
cultivator,0
cultural,0
culturally,0
culture,0
cultured,2
culvert,0
cumbersome,-1
cumin,0
cummerbund,0
cumulative,0
cumulatively,0
cumuli,0
cumulus,0
cuneiform,0
cunnilingus,0
cunning,-1
cunningly,-1
cunt,-3
cup,0
cupboard,0
cupcake,0
cupful,0
cupidity,0
cupola,0
cur,-2
curable,2
curate,0
curative,1
curator,0
curb,0
curd,0
curdle,0
cure,1
curfew,0
curie,0
curio,0
curiosity,0
curious,0
curiously,0
curl,0
curler,0
curlew,0
curlicue,0
curly,0
curmudgeon,-2
currant,0
currency,0
current,0
currently,0
curricula,0
curriculum,0
curry,0
curse,-2
cursed,-2
cursive,0
cursor,0
cursorily,-1
cursory,0
curt,-1
curtail,-1
curtailment,0
curtain,0
curtly,-1
curtness,-1
curtsey,0
curtsy,0
curvaceous,0
curvature,0
curve,0
curvy,0
cushion,0
cushy,1
cusp,0
cuspid,0
cuss,-1
custard,0
custodial,0
custodian,0
custody,0
custom,0
customarily,0
customary,0
custom-built,1
customer,0
customize,0
custom-made,1
customs,0
cut,0
cut-and-dried,0
cutback,0
cute,2
cutely,2
cuteness,2
cuticle,0
cutlass,0
cutlery,0
cutlet,0
cutoff,0
cutoffs,0
cut-rate,0
cutter,0
cutthroat,-2
cutting,0
cuttlefish,0
cutup,0
cyanide,0
cybernetic,0
cybernetics,0
cyberpunk,0
cyberspace,0
cyclamen,0
cycle,0
cyclic,0
cyclical,0
cyclist,0
cyclone,0
cyclotron,0
cygnet,0
cylinder,0
cylindrical,0
cymbal,0
cynic,-1
cynical,-2
cynically,-1
cynicism,-1
cypress,0
cyst,-1
cystic,-2
cytology,0
cytoplasm,0
czar,0
czarina,0
czech,0
d,0
d.,0
dab,0
dabble,0
dabbler,0
dachshund,0
dactylic,0
dad,0
daddy,0
daffodil,0
daffy,-1
daft,-2
dagger,0
dahlia,0
daily,0
daintily,1
daintiness,0
dainty,1
daiquiri,0
dairy,0
dairying,0
dairymaid,0
dairyman,0
dais,0
daisy,0
dale,0
dalliance,-1
dally,-1
